"지역별","상품군별","판매유형별","항목","단위","2014.1/4","2014.2/4","2014.3/4","2014.4/4","2015.1/4","2015.2/4","2015.3/4","2015.4/4","2016.1/4","2016.2/4","2016.3/4","2016.4/4","2017.1/4","2017.2/4","2017.3/4","2017.4/4","2018.1/4","2018.2/4","2018.3/4","2018.4/4","2019.1/4","2019.2/4","2019.3/4","2019.4/4",
"합계","합계","계","해외직접판매액[백만원]","백만원","148272","153641","163999","213216","269101","271784","268421","450568","511395","494391","560853","726741","839944","581349","755101","858240","833672","897205","921586","974060","1251122","1345723","1526135","1881628",
"합계","합계","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","673803","441213","610630","677884","665613","725319","761836","770656","1070693","1157158","1336372","1655635",
"합계","합계","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","166141","140136","144471","180356","168059","171886","159750","203404","180429","188565","189763","225993",
"합계","컴퓨터 및 주변기기","계","해외직접판매액[백만원]","백만원","4915","4052","3912","3529","2903","2697","3804","4048","4211","3693","3160","3270","2645","2072","2032","2158","5236","3854","4320","4511","3702","4038","3670","3827",
"합계","컴퓨터 및 주변기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5","3","5","1","2","6","1","215","2","0","1","70",
"합계","컴퓨터 및 주변기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","2640","2069","2027","2157","5234","3848","4319","4296","3700","4038","3669","3757",
"합계","가전·전자·통신기기","계","해외직접판매액[백만원]","백만원","13259","13824","13560","14200","13399","13587","12857","17621","16916","16176","15681","17845","18951","16020","19322","21696","25635","28160","27358","18073","21429","22798","25419","24180",
"합계","가전·전자·통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","8948","6282","9006","12680","18038","21188","20481","11104","14072","15843","17370","15478",
"합계","가전·전자·통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","10003","9738","10316","9016","7597","6972","6877","6969","7357","6955","8049","8702",
"합계","가전·전자","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","가전·전자","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","가전·전자","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","통신기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"합계","소프트웨어","계","해외직접판매액[백만원]","백만원","361","330","372","595","807","484","591","434","418","303","150","145","123","210","295","316","244","379","313","408","150","228","144","387",
"합계","소프트웨어","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"합계","소프트웨어","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","123","210","295","316","244","379","313","408","150","228","144","387",
"합계","서 적","계","해외직접판매액[백만원]","백만원","1563","1231","1721","1656","1819","1710","2250","2570","3364","3383","3523","4506","4894","3626","6560","6469","6193","7077","7434","7647","6357","6081","5727","6107",
"합계","서 적","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"합계","서 적","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","4894","3626","6560","6469","6193","7077","7434","7647","6357","6081","5727","6107",
"합계","사무·문구","계","해외직접판매액[백만원]","백만원","2094","1756","6035","8486","1577","1082","1188","1385","1378","1380","1177","1692","1442","1327","2251","1216","1111","1054","1155","1021","1603","1450","1577","1268",
"합계","사무·문구","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5","0","7","0","2","0","1","0","5","7","10","8",
"합계","사무·문구","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","1437","1327","2244","1216","1109","1054","1154","1021","1598","1443","1567","1260",
"합계","음반·비디오·악기","계","해외직접판매액[백만원]","백만원","5427","5485","6135","5259","5228","7851","6636","6049","6020","5649","5029","7076","7020","6280","11200","10487","9346","12446","15905","21945","15193","23557","23784","26899",
"합계","음반·비디오·악기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"합계","음반·비디오·악기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","7020","6280","11200","10487","9346","12446","15905","21945","15193","23557","23784","26899",
"합계","의류 및 패션 관련 상품","계","해외직접판매액[백만원]","백만원","44868","40464","39403","49622","57995","57089","61260","95899","87385","90636","77799","103781","103826","85434","104493","122622","135287","140895","129694","122910","125969","146698","141668","151505",
"합계","의류 및 패션 관련 상품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","32929","26189","47642","48785","58686","64583","62307","42279","47046","69090","72555","74266",
"합계","의류 및 패션 관련 상품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","70897","59245","56851","73837","76601","76312","67387","80631","78923","77608","69113","77239",
"합계","스포츠·레저용품","계","해외직접판매액[백만원]","백만원","2992","2490","2496","2629","2822","2834","2959","4610","4862","4103","4229","6427","4926","4032","3691","4014","3827","4065","3691","3682","4040","4258","6484","3791",
"합계","스포츠·레저용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5","2","0","0","0","0","1","3","4","0","0","0",
"합계","스포츠·레저용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","4921","4030","3691","4014","3827","4065","3690","3679","4036","4258","6484","3791",
"합계","화장품","계","해외직접판매액[백만원]","백만원","46002","56762","62722","91492","141766","148686","142540","283494","347511","332184","415989","541910","658978","431960","571860","646114","604771","658878","694831","751804","1034257","1098286","1276754","1611309",
"합계","화장품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","624983","405690","547625","606157","577245","628490","668249","706928","1000553","1063855","1239233","1557171",
"합계","화장품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","33995","26270","24235","39957","27526","30388","26582","44876","33704","34431","37521","54138",
"합계","아동·유아용품","계","해외직접판매액[백만원]","백만원","2268","2290","2557","3064","4240","3656","3601","4378","4956","5697","6268","6445","4979","4418","4355","4467","4274","4756","5008","5627","4514","5014","3972","5609",
"합계","아동·유아용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","282","104","255","90","141","366","295","132","383","298","93","128",
"합계","아동·유아용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","4697","4314","4100","4377","4133","4390","4713","5495","4131","4716","3879","5481",
"합계","음·식료품","계","해외직접판매액[백만원]","백만원","6854","7988","6318","11649","11248","11224","8951","4601","8015","9084","6690","9198","8974","4384","7025","11051","12430","11322","10883","11417","11205","9472","8986","10662",
"합계","음·식료품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","6388","2827","5820","9716","11087","10086","9816","9679","8335","7707","6859","8264",
"합계","음·식료품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","2586","1557","1205","1335","1343","1236","1067","1738","2870","1765","2127","2398",
"합계","농축수산물","계","해외직접판매액[백만원]","백만원","3464","3485","3526","5222","5299","4882","5242","1627","592","68","32","41","32","26","38","33","61","57","40","56","25","39","22","40",
"합계","농축수산물","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"합계","농축수산물","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","32","26","38","33","61","57","40","56","25","39","22","40",
"합계","생활·자동차용품","계","해외직접판매액[백만원]","백만원","7233","7055","7548","8173","11973","8022","9347","16012","13984","13013","11945","14520","12547","10771","11221","14829","11471","10644","8241","10747","9974","10091","13179","15527",
"합계","생활·자동차용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","71","7","15","5","4","0","3","5","105","124","114","86",
"합계","생활·자동차용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","12476","10764","11206","14824","11467","10644","8238","10742","9869","9967","13065","15441",
"합계","기 타","계","해외직접판매액[백만원]","백만원","6972","6429","7694","7640","8025","7980","7195","7840","11783","9022","9181","9885","10607","10789","10758","12768","13786","13618","12713","14212","12704","13713","14749","20517",
"합계","기 타","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","187","109","255","450","408","600","682","311","188","234","137","164",
"합계","기 타","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","10420","10680","10503","12318","13378","13018","12031","13901","12516","13479","14612","20353",
"아시아","합계","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","합계","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","합계","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","컴퓨터 및 주변기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","컴퓨터 및 주변기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","컴퓨터 및 주변기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","가전·전자·통신기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","가전·전자·통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","가전·전자·통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","가전·전자","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","가전·전자","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","가전·전자","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","통신기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","소프트웨어","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","소프트웨어","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","소프트웨어","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","서 적","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","서 적","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","서 적","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","사무·문구","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","사무·문구","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","사무·문구","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","음반·비디오·악기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","음반·비디오·악기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","음반·비디오·악기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","의류 및 패션 관련 상품","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","의류 및 패션 관련 상품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","의류 및 패션 관련 상품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","스포츠·레저용품","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","스포츠·레저용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","스포츠·레저용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","화장품","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","화장품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","화장품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","아동·유아용품","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","아동·유아용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","아동·유아용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","음·식료품","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","음·식료품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","음·식료품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","농축수산물","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","농축수산물","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","농축수산물","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","생활·자동차용품","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","생활·자동차용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","생활·자동차용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","기 타","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","기 타","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"아시아","기 타","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","합계","계","해외직접판매액[백만원]","백만원","55066","68938","77525","117223","170201","183801","173699","334029","390522","369735","445588","585452","689563","448483","596949","667606","646426","717843","744661","782962","1057204","1141821","1319089","1666550",
"중국","합계","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","635589","409703","562049","610041","604688","670391","707619","727126","1012118","1092077","1270158","1599893",
"중국","합계","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","53974","38780","34900","57565","41738","47452","37042","55836","45086","49744","48931","66657",
"중국","컴퓨터 및 주변기기","계","해외직접판매액[백만원]","백만원","32","34","65","68","80","50","77","67","49","69","46","114","47","29","40","65","34","26","17","178","31","19","27","104",
"중국","컴퓨터 및 주변기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","3","2","5","1","2","6","1","152","2","0","1","70",
"중국","컴퓨터 및 주변기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","44","27","35","64","32","20","16","26","29","19","26","34",
"중국","가전·전자·통신기기","계","해외직접판매액[백만원]","백만원","761","1421","1342","1542","2072","2370","2354","5853","4988","4178","4796","4887","8147","5865","8158","11015","15671","20143","18970","10639","13657","14507","15180","12451",
"중국","가전·전자·통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","7691","5468","7794","10663","15292","19805","18740","10349","13347","14160","14778","11952",
"중국","가전·전자·통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","456","397","364","352","379","338","230","290","310","347","402","499",
"중국","가전·전자","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","가전·전자","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","가전·전자","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","통신기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"중국","소프트웨어","계","해외직접판매액[백만원]","백만원","126","128","198","255","281","194","205","46","36","16","12","18","9","12","4","54","4","6","4","13","6","1","0","0",
"중국","소프트웨어","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"중국","소프트웨어","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","9","12","4","54","4","6","4","13","6","1","0","0",
"중국","서 적","계","해외직접판매액[백만원]","백만원","225","149","322","294","373","498","761","358","885","979","1188","1695","1405","940","1985","1500","1272","1802","1474","1749","1551","1185","1100","1237",
"중국","서 적","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"중국","서 적","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","1405","940","1985","1500","1272","1802","1474","1749","1551","1185","1100","1237",
"중국","사무·문구","계","해외직접판매액[백만원]","백만원","6","5","5","11","12","9","6","64","81","78","80","123","150","97","71","95","60","81","61","95","57","54","54","51",
"중국","사무·문구","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5","0","7","0","1","0","1","0","5","6","10","8",
"중국","사무·문구","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","145","97","64","95","59","81","60","95","52","48","44","43",
"중국","음반·비디오·악기","계","해외직접판매액[백만원]","백만원","2350","2991","3166","2572","2295","4604","3111","1925","1974","2378","1885","2506","1632","1349","3028","2436","1850","3003","4519","5674","3447","9077","10470","13199",
"중국","음반·비디오·악기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"중국","음반·비디오·악기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","1632","1349","3028","2436","1850","3003","4519","5674","3447","9077","10470","13199",
"중국","의류 및 패션 관련 상품","계","해외직접판매액[백만원]","백만원","12206","11874","13461","19990","29737","30608","30498","51496","47293","48554","41347","53738","58988","45159","58420","65763","74535","78794","70222","65297","66854","86183","85684","91546",
"중국","의류 및 패션 관련 상품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","31623","25248","43083","41412","50888","56866","53042","40441","45109","66495","69469","71350",
"중국","의류 및 패션 관련 상품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","27365","19911","15337","24351","23647","21928","17180","24856","21745","19688","16215","20196",
"중국","스포츠·레저용품","계","해외직접판매액[백만원]","백만원","16","37","140","223","265","246","324","1432","1916","905","1238","2171","1089","633","596","628","490","474","435","340","455","450","557","542",
"중국","스포츠·레저용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"중국","스포츠·레저용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","1089","633","596","628","490","474","435","340","455","450","557","542",
"중국","화장품","계","해외직접판매액[백만원]","백만원","32235","43457","50509","77298","119497","129656","121078","255543","313846","298254","379609","501528","603133","385158","512795","567224","536503","597799","636459","682411","957638","1016852","1192079","1530072",
"중국","화장품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","589816","376261","506067","550040","529566","585365","627562","666806","945335","1003787","1179409","1508665",
"중국","화장품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","13317","8897","6728","17184","6937","12434","8897","15605","12303","13065","12670","21407",
"중국","아동·유아용품","계","해외직접판매액[백만원]","백만원","256","563","737","900","1944","1812","1739","2242","3034","3566","4203","3808","2541","1916","1720","1584","1444","1832","1491","1620","1376","1519","802","1262",
"중국","아동·유아용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","282","103","254","90","140","366","282","128","383","292","82","119",
"중국","아동·유아용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","2259","1813","1466","1494","1304","1466","1209","1492","993","1227","720","1143",
"중국","음·식료품","계","해외직접판매액[백만원]","백만원","4453","5626","4237","8649","8187","8269","6558","3854","6197","5059","5785","7859","7284","3361","5173","8463","9137","8132","8069","9361","8640","7418","6427","7924",
"중국","음·식료품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","5916","2505","4651","7646","8659","7699","7710","8936","7645","6980","6160","7480",
"중국","음·식료품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","1368","856","522","817","478","433","359","425","995","438","267","444",
"중국","농축수산물","계","해외직접판매액[백만원]","백만원","2132","2049","2374","3861","4079","3502","3831","1603","573","27","20","25","18","16","24","17","43","39","24","14","15","24","6","14",
"중국","농축수산물","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"중국","농축수산물","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","18","16","24","17","43","39","24","14","15","24","6","14",
"중국","생활·자동차용품","계","해외직접판매액[백만원]","백만원","110","396","688","1146","1075","1390","2706","8835","5708","4988","4569","5988","4052","2926","3997","7419","4179","3800","1663","4160","2366","3040","5619","6211",
"중국","생활·자동차용품","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","71","7","15","5","4","0","3","5","105","124","112","86",
"중국","생활·자동차용품","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","3981","2919","3982","7414","4175","3800","1660","4155","2261","2916","5507","6125",
"중국","기 타","계","해외직접판매액[백만원]","백만원","158","208","281","414","304","593","451","711","3942","684","810","992","1068","1022","938","1343","1204","1912","1253","1411","1111","1492","1084","1937",
"중국","기 타","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","182","109","173","184","136","284","278","309","187","233","137","163",
"중국","기 타","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","886","913","765","1159","1068","1628","975","1102","924","1259","947","1774",
"일본","합계","계","해외직접판매액[백만원]","백만원","21685","17985","23165","27352","19616","18402","20480","27419","28047","32547","25127","35620","33447","31994","34409","38601","47704","47999","46968","51705","57363","55868","57169","56146",
"일본","합계","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","3880","3368","2557","2929","3302","3289","3855","5836","7238","9138","10449","10391",
"일본","합계","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","29567","28626","31852","35672","44402","44710","43113","45869","50125","46730","46720","45755",
"일본","컴퓨터 및 주변기기","계","해외직접판매액[백만원]","백만원","71","56","55","65","64","49","46","35","49","44","43","45","27","29","38","35","27","42","70","25","34","28","13","63",
"일본","컴퓨터 및 주변기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"일본","컴퓨터 및 주변기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","27","29","38","35","27","42","70","25","34","28","13","63",
"일본","가전·전자·통신기기","계","해외직접판매액[백만원]","백만원","826","713","806","980","673","571","629","714","804","856","595","854","699","700","805","678","824","672","742","190","833","703","820","440",
"일본","가전·전자·통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","18","21","71","41","63","21","64","45","36","45","113","258",
"일본","가전·전자·통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","681","679","734","637","761","651","678","145","797","658","707","182",
"일본","가전·전자","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"일본","가전·전자","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"일본","가전·전자","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"일본","통신기기","계","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"일본","통신기기","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"일본","통신기기","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","-","-","-","-","-","-","-","-","-","-","-","-",
"일본","소프트웨어","계","해외직접판매액[백만원]","백만원","11","13","11","21","14","6","10","0","2","2","1","3","2","2","1","3","2","2","2","1","5","7","1","1",
"일본","소프트웨어","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"일본","소프트웨어","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","2","2","1","3","2","2","2","1","5","7","1","1",
"일본","서 적","계","해외직접판매액[백만원]","백만원","18","20","31","21","21","24","34","32","53","42","47","58","89","76","38","42","64","58","36","84","73","108","191","202",
"일본","서 적","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
"일본","서 적","면세점 이외","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","89","76","38","42","64","58","36","84","73","108","191","202",
"일본","사무·문구","계","해외직접판매액[백만원]","백만원","1228","894","5139","7444","434","407","439","461","495","495","353","550","537","451","429","389","510","445","523","223","729","735","855","375",
"일본","사무·문구","면세점","해외직접판매액[백만원]","백만원","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0",
